id,day_id,place_id,count
1,17167,1,0
2,17167,2,1
3,17168,2,0
4,17168,3,1
5,17169,3,0
6,17170,3,0
7,17171,3,0
8,17172,3,0
9,17173,3,0
10,17174,3,0
11,17175,3,0
12,17176,3,0
13,17177,3,0
14,17178,3,0
15,17178,4,1
16,17179,4,0
17,17179,1,1
18,17180,1,0
19,17180,3,1
20,17181,3,0
21,17181,4,1
22,17181,3,2
23,17182,3,0
24,17183,3,0
25,17184,3,0
26,17185,3,0
27,17186,3,0
28,17187,3,0
29,17188,3,0
30,17189,3,0
31,17190,3,0
32,17191,3,0
33,17192,3,0
34,17193,3,0
35,17194,3,0
36,17195,3,0
37,17196,3,0
38,17197,3,0
39,17198,3,0
40,17199,3,0
41,17200,3,0
42,17201,3,0
43,17202,3,0
44,17203,3,0
45,17204,3,0
46,17205,3,0
47,17206,3,0
48,17207,3,0
49,17208,3,0
50,17209,3,0
51,17210,3,0
52,17211,3,0
53,17212,3,0
54,17213,3,0
55,17214,3,0
56,17215,3,0
57,17216,3,0
58,17217,3,0
59,17218,3,0
60,17219,3,0
61,17220,3,0
62,17221,3,0
63,17222,3,0
64,17223,3,0
65,17224,3,0
66,17225,3,0
67,17226,3,0
68,17227,3,0
69,17228,3,0
70,17228,4,1
71,17229,4,0
72,17230,4,0
73,17230,3,1
74,17231,3,0
75,17232,3,0
76,17233,3,0
77,17234,3,0
78,17235,3,0
79,17236,3,0
80,17237,3,0
81,17237,4,1
82,17237,3,2
83,17238,3,0
84,17239,3,0
85,17240,3,0
86,17241,3,0
87,17242,3,0
88,17243,3,0
89,17243,4,1
90,17244,4,0
91,17245,4,0
92,17245,3,1
93,17246,3,0
94,17247,3,0
95,17248,3,0
96,17249,3,0
97,17250,3,0
98,17251,3,0
99,17251,5,1
100,17252,5,0
101,17253,5,0
102,17253,3,1
103,17254,3,0
104,17255,3,0
105,17256,3,0
106,17257,3,0
107,17257,4,1
108,17258,4,0
109,17259,4,0
110,17260,4,0
111,17260,6,1
112,17261,6,0
113,17262,6,0
114,17263,6,0
115,17263,4,1
116,17264,4,0
117,17264,3,1
118,17265,3,0
119,17266,3,0
120,17267,3,0
121,17267,4,1
122,17267,7,2
123,17268,7,0
124,17269,7,0
125,17270,7,0
126,17271,7,0
127,17272,7,0
128,17273,7,0
129,17274,7,0
130,17275,7,0
131,17275,4,1
132,17276,4,0
133,17276,3,1
134,17277,3,0
135,17278,3,0
136,17278,4,1
137,17279,4,0
138,17279,3,1
139,17280,3,0
140,17281,3,0
141,17282,3,0
142,17283,3,0
143,17284,3,0
144,17285,3,0
145,17286,3,0
146,17287,3,0
147,17288,3,0
148,17289,3,0
149,17290,3,0
150,17291,3,0
151,17292,3,0
152,17293,3,0
153,17294,3,0
154,17295,3,0
155,17296,3,0
156,17297,3,0
157,17298,3,0
158,17299,3,0
159,17300,3,0
160,17301,3,0
161,17302,3,0
162,17303,3,0
163,17304,3,0
164,17305,3,0
165,17306,3,0
166,17307,3,0
167,17308,3,0
168,17309,3,0
169,17310,3,0
170,17311,3,0
171,17312,3,0
172,17313,3,0
173,17314,3,0
174,17315,3,0
175,17316,3,0
176,17317,3,0
177,17318,3,0
178,17319,3,0
179,17320,3,0
180,17321,3,0
181,17322,3,0
182,17323,3,0
183,17324,3,0
184,17325,3,0
185,17326,3,0
186,17327,3,0
187,17328,3,0
188,17329,3,0
189,17330,3,0
190,17331,3,0
191,17332,3,0
192,17333,3,0
193,17333,4,1
194,17334,4,0
195,17335,4,0
196,17336,4,0
197,17337,4,0
198,17338,4,0
199,17339,4,0
200,17339,3,1
201,17340,3,0
202,17341,3,0
203,17341,4,1
204,17342,4,0
205,17343,4,0
206,17344,4,0
207,17345,4,0
208,17346,4,0
209,17347,4,0
210,17347,3,1
211,17348,3,0
212,17348,4,1
213,17349,4,0
214,17350,4,0
215,17351,4,0
216,17352,4,0
217,17352,1,1
218,17353,1,0
219,17354,1,0
220,17355,1,0
221,17356,1,0
222,17357,1,0
223,17358,1,0
224,17359,1,0
225,17360,1,0
226,17361,1,0
227,17362,1,0
228,17363,1,0
229,17364,1,0
230,17365,1,0
231,17366,1,0
232,17367,1,0
233,17368,1,0
234,17369,1,0
235,17370,1,0
236,17370,4,1
237,17371,4,0
238,17372,4,0
239,17373,4,0
240,17374,4,0
241,17375,4,0
242,17376,4,0
243,17377,4,0
244,17377,3,1
245,17378,3,0
246,17379,3,0
247,17379,4,1
248,17380,4,0
249,17381,4,0
250,17382,4,0
251,17383,4,0
252,17384,4,0
253,17385,4,0
254,17386,4,0
255,17387,4,0
256,17387,3,1
257,17387,4,2
258,17388,4,0
259,17389,4,0
260,17389,3,1
261,17390,3,0
262,17391,3,0
263,17392,3,0
264,17392,4,1
265,17393,4,0
266,17394,4,0
267,17395,4,0
268,17396,4,0
269,17397,4,0
270,17398,4,0
271,17399,4,0
272,17400,4,0
273,17401,4,0
274,17402,4,0
275,17402,3,1
276,17403,3,0
277,17403,4,1
278,17404,4,0
279,17404,7,1
280,17405,7,0
281,17406,7,0
282,17407,7,0
283,17408,7,0
284,17409,7,0
285,17409,8,1
286,17410,8,0
287,17411,8,0
288,17411,9,1
289,17412,9,0
290,17413,9,0
291,17414,9,0
292,17415,9,0
293,17416,9,0
294,17416,10,1
295,17416,11,2
296,17416,9,3
297,17417,9,0
298,17418,9,0
299,17418,7,1
300,17419,7,0
301,17419,4,1
302,17420,4,0
303,17421,4,0
304,17422,4,0
305,17423,4,0
306,17424,4,0
307,17425,4,0
308,17426,4,0
309,17427,4,0
310,17428,4,0
311,17429,4,0
312,17430,4,0
313,17430,3,1
314,17431,3,0
315,17432,3,0
316,17433,3,0
317,17433,4,1
318,17434,4,0
319,17435,4,0
320,17436,4,0
321,17437,4,0
322,17438,4,0
323,17439,4,0
324,17439,3,1
325,17440,3,0
326,17441,3,0
327,17442,3,0
328,17443,3,0
329,17444,3,0
330,17445,3,0
331,17445,4,1
332,17446,4,0
333,17447,4,0
334,17447,3,1
335,17448,3,0
336,17449,3,0
337,17450,3,0
338,17451,3,0
339,17452,3,0
340,17453,3,0
341,17454,3,0
342,17455,3,0
343,17456,3,0
344,17457,3,0
345,17458,3,0
346,17459,3,0
347,17460,3,0
348,17461,3,0
349,17462,3,0
350,17463,3,0
351,17464,3,0
352,17465,3,0
353,17466,3,0
354,17467,3,0
355,17467,4,1
356,17467,3,2
357,17468,3,0
358,17469,3,0
359,17470,3,0
360,17471,3,0
361,17472,3,0
362,17473,3,0
363,17474,3,0
364,17475,3,0
365,17476,3,0
366,17477,3,0
367,17478,3,0
368,17479,3,0
369,17480,3,0
370,17481,3,0
371,17482,3,0
372,17483,3,0
373,17484,3,0
374,17485,3,0
375,17486,3,0
376,17487,3,0
377,17488,3,0
378,17489,3,0
379,17490,3,0
380,17491,3,0
381,17492,3,0
382,17493,3,0
383,17494,3,0
384,17495,3,0
385,17496,3,0
386,17497,3,0
387,17498,3,0
388,17499,3,0
389,17500,3,0
